name,addr:postcode,operator,website,_region,latitude,longitude
Anthony Costa Oval,,,,Geelong & Bellarine,-38.15710512332284,144.35199543328875
No.2 Oval,,,,Geelong & Bellarine,-38.183331889936404,144.35545192268273
No.5 Oval,,,,Geelong & Bellarine,-38.183556424087804,144.35687598848568
No.1 Oval,,,,Geelong & Bellarine,-38.184597978638706,144.35562709722566
No.3 Oval,,,,Geelong & Bellarine,-38.18199252190976,144.355343421372
No.4 Oval,,,,Geelong & Bellarine,-38.18211652391669,144.35664177128402
Walker Oval,,,,Geelong & Bellarine,-38.137434676986366,144.3254080288724
NH Drew Oval,,,,Geelong & Bellarine,-38.13764517107949,144.32687723664148
Shaw Oval,,,,Geelong & Bellarine,-38.14750139380254,144.31774810822222
Mary Bell Oval,,,,Geelong & Bellarine,-38.3367637199446,144.26340096799655
Polwarth Oval,,,,Geelong & Bellarine,-38.306833322509014,144.32330962381693
Mount Moriac Football Oval,,,,Geelong & Bellarine,-38.21821902213388,144.1967726284995
Main Oval,,,,Geelong & Bellarine,-38.15095096090719,144.33902553940675
Grenville Oval,,,,Geelong & Bellarine,-38.30714003601338,144.32504485711192
Stinton Oval,,,,Geelong & Bellarine,-38.147496303072664,144.3202471086739
Jarvis Oval,,,,Geelong & Bellarine,-38.203670800074214,144.29572092804557
Oval,,,,Geelong & Bellarine,-38.22012221423964,144.35306197146843
Dartmoor Football/Netball Club,,,,Western Victoria,-37.924667299999996,141.2733313
Alexandra Oval,,,,Western Victoria,-37.279227036592914,142.92793632305134
Neil (Bull) Millgate Oval,,,,Western Victoria,-37.29146991375765,143.78800988498793
Gordon Street Oval,,,,Western Victoria,-37.29060417675778,142.94483569184723
Silvester Oval,,,,Western Victoria,-37.59442238858761,141.6913589247614
Football/cricket,,,,Western Victoria,-37.04547404692262,143.80924650806625
Western Oval,,,,Western Victoria,-37.56527053159256,143.83914182722447
Forrest Football Club,,,,Western Victoria,-38.50559855765567,143.72635699916728
Forrest Recreation Reserve,,,,Western Victoria,-38.506133761033134,143.7267214589707
Reid Oval,,,,Western Victoria,-38.37945157746937,142.49521267964076
Walter Oval,,,,Western Victoria,-38.3814719883764,142.4981802627086
Mack Oval,,,,Western Victoria,-38.38056189937583,142.5010668368728
Friendly Societies Oval,,,,Western Victoria,-38.37581140053926,142.46887984461912
Trinity College Colac - Oval,,,,Western Victoria,-38.35079496825928,143.57569570598395
Leura Oval,,,,Western Victoria,-38.24014209707497,143.15221846938556
Cricket-Football,,,,Western Victoria,-36.702925517236935,142.20368574231833
Cricket-Football,,,,Western Victoria,-36.703181448785365,142.20213479430143
College Oval,,,,Western Victoria,-36.71081323174278,142.18340370424957
City Oval,,,,Western Victoria,-36.72128122348281,142.20117498159152
Footy/cricket,,,,Western Victoria,-36.74267932638771,141.94949618699926
Footy/cricket,,,,Western Victoria,-38.076215425743726,141.58669396508026
Willaura Oval,,,,Western Victoria,-37.54489668893835,142.7444042722901
Melville Oval,,,,Western Victoria,-37.74070984050779,142.02218488765644
Casterton Football Club,,,,Western Victoria,-37.58016922311842,141.40511587279832
Natte Yallock Sports Ground,,,,Western Victoria,-36.93742445355769,143.47045636861992
Jack Keane Oval,,,,Western Victoria,-38.29724105227702,142.3670501750769
Halls Gap Sports Reserve,,,,Western Victoria,-37.135177631510466,142.52005036999032
Footy/cricket,,,,Western Victoria,-37.152254671326425,142.85129801259555
Woorndoo Recreation Reserve,,,,Western Victoria,-37.8852850964125,142.79955374036578
Katamatite Football Club,,,,Northern Victoria,-36.0763982,145.6901575
JC Lowe Oval,,,,Northern Victoria,-36.01218319475763,145.99495447371416
Benalla Showgrounds Oval,,,,Northern Victoria,-36.55415227668121,145.98031102640275
Footy/cricket,,,,Northern Victoria,-36.72072816955166,144.6918871746562
Canterbury Park Oval,,,,Northern Victoria,-36.71554102252546,144.25222844190202
Mooroopna Football Netball Club,,,,Northern Victoria,-36.393102627715066,145.3535512121359
Deakin Reserve,,,,Northern Victoria,-36.37697043245529,145.4078692488805
Oval,,,,Northern Victoria,-36.542640929757326,145.9958726233478
Glenrowan Recreation Reserve,,,,Northern Victoria,-36.465682321167876,146.216390567477
Footy/cricket,,,,Northern Victoria,-35.99587912517952,145.10997034103275
Albert Heaney Oval,,,,Northern Victoria,-36.74866371838118,146.00054046292365
Footy/cricket,,,,Northern Victoria,-36.276184590293035,145.21716143002791
Bridgewater Recreation Reserve,,,,Northern Victoria,-36.60599632588218,143.94555297996823
Cricket-football,,,,Northern Victoria,-36.26591684833937,144.54111788070827
Cricket-football,,,,Northern Victoria,-35.530039703583185,143.95375209922702
John Foord Oval,2646,,,Northern Victoria,-36.004781379844204,146.39251097501662
Tyntynder Oval,,,,Northern Victoria,-35.336579421546766,143.55274411131825
Toolamba Oval,,,,Northern Victoria,-36.49225619626321,145.34331622699676
Numurkah Showgrounds,,,,Northern Victoria,-36.093332702348874,145.4473469332449
Gurnett Oval,,,,Northern Victoria,-35.33399099233268,143.55460430155244
Frank Howley Oval,,,,Northern Victoria,-36.446208179455525,145.22939394596554
Backhaus Oval,,,,Northern Victoria,-36.77318012923911,144.2547002470591
Ballantyne Centre,,Tatura Football Club,,Northern Victoria,-36.44490058095995,145.23301030383814
Rumbalara Football,,,,Northern Victoria,-36.353240120548016,145.39738093801088
Nagambie Primary School Oval,,,,Northern Victoria,-36.78888669713261,145.15668613764728
Glengarry Recreation Reserve Football Club,3854,,,Gippsland / East,-38.126686899999996,146.5691292
Athletic Field,,,,Gippsland / East,-38.1532616,146.7745019
Athletic Field,,,,Gippsland / East,-38.1527853,146.77212979999996
Lochiel Park,,,,Gippsland / East,-37.71163431023904,148.4550385427383
Fred King Oval,,,,Gippsland / East,-38.126938083322024,146.5701580662708
No. 1 Oval,,,,Gippsland / East,-38.60077638584704,145.5976442446077
Wesburn Oval,,,,Gippsland / East,-37.77332013129542,145.6491924538351
Bruthen Oval,,,,Gippsland / East,-37.71293624711262,147.83490086627464
