name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Hurstbridge High Oval,,,,Melbourne NE,-37.642536634314986,145.18940459124119,209031210,Hurstbridge,Nillumbik - Kinglake,Greater Melbourne,9.0,1068.054539
Northern Saints Football Club,,,,Melbourne NE,-37.71435050796374,144.97033665310502,210031237,Fawkner,Moreland - North,Greater Melbourne,2.0,936.1842233
Tony Sheehan Reserve,,,,Melbourne NE,-37.72392709107401,145.04302985114927,209021205,Kingsbury,Darebin - North,Greater Melbourne,5.0,1011.573923
Mount Pleasant Road Primary School Oval,,,,Melbourne NE,-37.82902952431791,145.18119801628177,211041271,Nunawading,Whitehorse - East,Greater Melbourne,7.0,1041.310192
St. James Park,,,https://www.boroondara.vic.gov.au/recreation-arts/parks-and-gardens/st-james-park,Melbourne NE,-37.8200008838196,145.02127154953598,207011519,Hawthorn - North,Boroondara,Greater Melbourne,10.0,1087.65006
Olinda Green Oval,,,,Melbourne NE,-37.854272871988904,145.3742981489443,211051282,Mount Dandenong - Olinda,Yarra Ranges,Greater Melbourne,9.0,1078.631503
Stintons Reserve Oval,,,,Melbourne NE,-37.76725294701857,145.20411750549786,211021261,Donvale - Park Orchards,Manningham - East,Greater Melbourne,9.0,1082.81992
Diamond Creek Football Club,,,,Melbourne NE,-37.672516904445686,145.15599896823008,209031215,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Greater Melbourne,9.0,1083.570471
Warrandyte Football Club,3113,,https://www.warrandytefc.com/,Melbourne NE,-37.74615099929949,145.20747418778626,211021262,Warrandyte - Wonga Park,Manningham - East,Greater Melbourne,10.0,1100.313841
Coventry Oval,,,,Melbourne NE,-37.6722751152846,145.15492688664776,209031215,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Greater Melbourne,9.0,1083.570471
Marngrook Oval,,,,Melbourne NE,-37.67426375310383,145.1542884506452,209031215,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Greater Melbourne,9.0,1083.570471
Blackburn Football Club,,,,Melbourne NE,-37.821395057280895,145.15621213967057,207031161,Blackburn,Whitehorse - West,Greater Melbourne,9.0,1068.999185
Bayswater Football Club,,Knox City Council,,Melbourne NE,-37.83686199014731,145.26901858846378,211011251,Bayswater,Knox,Greater Melbourne,5.0,1003.895227
Barwon Heads Football Club,,,,Melbourne SW,-38.2869596572778,144.49520612159415,203031489,Barwon Heads - Armstrong Creek,Surf Coast - Bellarine Peninsula,Rest of Vic.,9.0,1075.403948
Oval,,,,Melbourne SW,-38.18836225372612,144.55932929797385,203031048,Clifton Springs,Surf Coast - Bellarine Peninsula,Rest of Vic.,6.0,1013.845111
