sa2_code,sa2_name,sa3_name,region,population,venue_count,venues_per_10k,irsd_decile,irsd_score
209021526,Reservoir - South West,Darebin - North,Greater Melbourne,14090.0,0,0.0,5.0,1002.8235
209031209,Eltham,Nillumbik - Kinglake,Greater Melbourne,23444.0,1,0.4265483705852244,10.0,1097.974413
209031210,Hurstbridge,Nillumbik - Kinglake,Greater Melbourne,3554.0,2,5.627462014631401,9.0,1068.054539
209031211,Kinglake,Nillumbik - Kinglake,Greater Melbourne,4204.0,0,0.0,7.0,1038.969496
209031212,Panton Hill - St Andrews,Nillumbik - Kinglake,Greater Melbourne,5091.0,1,1.9642506383814575,10.0,1086.43613
209031213,Plenty - Yarrambat,Nillumbik - Kinglake,Greater Melbourne,9454.0,0,0.0,10.0,1096.944051
209031214,Research - North Warrandyte,Nillumbik - Kinglake,Greater Melbourne,6935.0,0,0.0,10.0,1106.861909
209031215,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Greater Melbourne,14417.0,3,2.0808767427342723,9.0,1083.570471
209041216,Bundoora - North,Whittlesea - Wallan,Greater Melbourne,7350.0,0,0.0,6.0,1026.67689
209041217,Bundoora - West,Whittlesea - Wallan,Greater Melbourne,6186.0,0,0.0,4.0,983.2850591
209041220,Mill Park - North,Whittlesea - Wallan,Greater Melbourne,17470.0,0,0.0,5.0,1010.50716
209041221,Mill Park - South,Whittlesea - Wallan,Greater Melbourne,11240.0,0,0.0,4.0,988.6527456
209041223,Thomastown,Whittlesea - Wallan,Greater Melbourne,19998.0,0,0.0,1.0,884.8638521
209041224,Wallan,Whittlesea - Wallan,Greater Melbourne,22627.0,0,0.0,6.0,1016.712836
209041225,Whittlesea,Whittlesea - Wallan,Greater Melbourne,10661.0,0,0.0,6.0,1030.717377
209041431,Epping - East,Whittlesea - Wallan,Greater Melbourne,13144.0,0,0.0,3.0,960.7164395
209041432,Epping - South,Whittlesea - Wallan,Greater Melbourne,8204.0,0,0.0,2.0,927.0433645
209041433,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,12143.0,3,2.4705591698921188,4.0,990.9834587
209041435,South Morang - North,Whittlesea - Wallan,Greater Melbourne,12595.0,0,0.0,8.0,1051.307039
209041436,South Morang - South,Whittlesea - Wallan,Greater Melbourne,12392.0,0,0.0,6.0,1021.333574
209041437,Wollert,Whittlesea - Wallan,Greater Melbourne,24407.0,0,0.0,5.0,1001.788902
209041527,Doreen - North,Whittlesea - Wallan,Greater Melbourne,16299.0,1,0.6135345726731701,8.0,1051.04692
209041528,Doreen - South,Whittlesea - Wallan,Greater Melbourne,10471.0,0,0.0,7.0,1045.350467
209041529,Lalor - East,Whittlesea - Wallan,Greater Melbourne,9947.0,0,0.0,1.0,883.8922552
209041530,Lalor - West,Whittlesea - Wallan,Greater Melbourne,13513.0,1,0.7400281210686006,2.0,919.2516177
209041531,Mernda - North,Whittlesea - Wallan,Greater Melbourne,11427.0,0,0.0,6.0,1019.448852
209041532,Mernda - South,Whittlesea - Wallan,Greater Melbourne,11940.0,0,0.0,7.0,1033.690501
210011226,Airport West,Keilor,Greater Melbourne,8173.0,0,0.0,6.0,1025.533034
210011227,Essendon Airport,Keilor,Greater Melbourne,,0,,,
210011228,Keilor,Keilor,Greater Melbourne,8548.0,1,1.169864295741694,8.0,1052.264046
210011230,Niddrie - Essendon West,Keilor,Greater Melbourne,7460.0,0,0.0,9.0,1067.221506
