stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
47648,Tarneit Station,-37.83216813,144.69471438,train,1
48804,Cobblebank Station,-37.71252223,144.60384768,train,1
49295,Raywood Station,-36.53420922,144.20141492,train,1
49296,Huntly Station,-36.66639019,144.36825821,train,1
49848,East Pakenham Station,-38.08428099,145.50673581,train,1
51809,Goornong Station,-36.61480046,144.50455978,train,1
52011,Caroline Springs Station,-37.76609003,144.73571556,train,1
nsw:rail:ABY,Albury Railway Station,-36.0850459,146.9243814,train,1
vic:rail:ARR,Ardeer Railway Station,-37.78306529,144.80218807,train,1
vic:rail:ART,Ararat Railway Station,-37.28224082,142.93691176,train,1
vic:rail:BAH,Bacchus Marsh Railway Station,-37.68757821,144.43678516,train,1
vic:rail:BAT-V,Ballarat Railway Station,-37.55879148,143.85945743,train,1
vic:rail:BDE,Bairnsdale Railway Station,-37.82872043,147.62761375,train,1
vic:rail:BET,Beaufort Railway Station,-37.42762724,143.38238116,train,1
vic:rail:BEW,Berwick Railway Station,-38.03998037,145.34541666,train,1
vic:rail:BEW_BR1,Bike & Ride,-38.03913486,145.34425063,train,1
vic:rail:BEW_ConX,Connex,-38.04040829,145.34572609,train,1
vic:rail:BEW_EN1,Clyde Rd,-38.03923604,145.34439648,train,1
vic:rail:BEW_EN2,Melville Park Dr,-38.03926965,145.34486291,train,1
vic:rail:BEW_PR1,Park & Ride,-38.03962763,145.34404582,train,1
vic:rail:BEW_PR2,Park & Ride 2,-38.03781745,145.34413217,train,1
vic:rail:BEW_PR3,Park & Ride 3,-38.03910232,145.34514015,train,1
vic:rail:BGO,Bendigo Railway Station,-36.76566973,144.28300893,train,1
vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.91961322,train,1
vic:rail:BMS_BR1,Bike & Ride,-37.68383632,144.91876345,train,1
vic:rail:BMS_DP1,Decision point 1,-37.68371322,144.91893698,train,1
vic:rail:BMS_DP2,Decision point 2,-37.6838161,144.91914955,train,1
vic:rail:BMS_DP3,Decision point 3,-37.68387195,144.91925005,train,1
vic:rail:BMS_DP4,Decision point 4,-37.68269937,144.91970237,train,1
vic:rail:BMS_EN1,Pascoe Vale Rd,-37.6824888,144.91951548,train,1
vic:rail:BMS_EN2,Pascoe Vale Rd,-37.68253304,144.91946889,train,1
vic:rail:BMS_EN3,Pascoe Vale Rd,-37.6829602,144.91916213,train,1
vic:rail:BMS_EN4,Pascoe Vale Rd,-37.683455,144.91911429,train,1
vic:rail:BMS_EN5,Railway Cres,-37.68360632,144.91951828,train,1
vic:rail:BMS_EN6,Railway Cres,-37.6828603,144.9201401,train,1
vic:rail:BMS_PR1,Park & Ride,-37.68432893,144.91808064,train,1
vic:rail:BRF,Broadford Railway Station,-37.20720049,145.0430079,train,1
vic:rail:CFD,Caulfield Railway Station,-37.87745946,145.04252478,train,1
vic:rail:CFD_BR1,Bike & Ride,-37.87673556,145.04180495,train,1
vic:rail:CFD_DP1,Decision point 1,-37.87745864,145.0419336,train,1
vic:rail:CFD_DP2,Decision point 2,-37.87706211,145.04193273,train,1
vic:rail:CFD_DP3,Decision point 3,-37.87688516,145.04213069,train,1
vic:rail:CFD_DP4,Decision point 4,-37.87726595,145.04226841,train,1
vic:rail:CFD_EN1,Normanby Rd,-37.87735653,145.04175439,train,1
vic:rail:CFD_EN2,Normanby Rd,-37.87754217,145.04207919,train,1
vic:rail:CFD_EN3,Normanby Rd,-37.87734601,145.04166372,train,1
vic:rail:CFD_EN4,Sir John Monash Dr,-37.87702387,145.04234304,train,1
vic:rail:CFD_EN5,Sir John Monash Dr,-37.87730205,145.04281318,train,1
vic:rail:CFD_EN6,Sir John Monash Dr,-37.87676504,145.04195197,train,1
