name,addr:postcode,operator,website,_region,latitude,longitude,dist_train_m,score_train,dist_tram_m,score_tram,dist_bus_m,score_bus,accessibility_score,sa2_name,sa3_name,region,irsd_decile,irsd_score
Ransford Oval,,,,Melbourne NE,-37.77858096227391,144.95533922274979,394.55131433610205,100.0,448.9247216235787,100.0,243.48211990692073,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
McAlister Oval,,,,Melbourne NE,-37.77878429034786,144.95675235905253,446.66942615381254,100.0,337.81486526980206,100.0,231.13384394802694,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Ryder Oval,,,,Melbourne NE,-37.77990105795768,144.95525198040798,296.8638336935588,100.0,405.97611689202614,100.0,380.54019244538256,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Southern Reserve,,,,Melbourne NE,-37.93461148789319,145.17723057419474,2648.7425286106363,0.0,8685.192567722797,0.0,139.55437834088485,100.0,25.0,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
Wellington Reserve,,,,Melbourne NE,-37.92751064818517,145.16291179150795,2424.082328160883,0.0,8051.777513916399,0.0,380.638708891761,100.0,25.0,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
H. G. Smith Oval,,,,Melbourne NE,-37.78746605159152,144.95582900008625,762.4685940148928,100.0,274.9088072395588,100.0,399.081664811385,100.0,100.0,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Ian Johnson Oval,,,,Melbourne NE,-37.857333407309554,144.97836267429932,1167.1575819127893,54.10530226090133,179.7005741413152,100.0,175.58450082804464,100.0,79.3,St Kilda - West,Port Phillip,Greater Melbourne,8.0,1051.681882
Ross Gregory Oval,,,,Melbourne NE,-37.8542668079909,144.9776492828767,1073.9464113796903,65.75669857753871,383.73414958407125,100.0,501.9550662337361,74.51123344156598,78.2,St Kilda - West,Port Phillip,Greater Melbourne,8.0,1051.681882
Lindsay Hassett Oval,,,,Melbourne NE,-37.85286191862342,144.97125508251617,1596.357227041847,0.4553466197691258,100.48581593746204,100.0,468.1982012535465,82.95044968661338,50.9,Albert Park,Port Phillip,Greater Melbourne,9.0,1084.273674
Bayswater Oval,,,,Melbourne NE,-37.83696895271175,145.27004481717177,512.6137028574683,100.0,8035.654907410141,0.0,127.58219798890767,100.0,70.0,Bayswater,Knox,Greater Melbourne,5.0,1003.895227
Scoresby Oval,,,,Melbourne NE,-37.897292380864286,145.23071314186663,5864.142425663266,0.0,6235.530960294026,0.0,217.79901082269362,100.0,25.0,Knoxfield - Scoresby,Knox,Greater Melbourne,8.0,1051.804091
Edmund Herring Memorial Oval,,,,Melbourne NE,-37.832668248005284,144.97551601019148,210.90351222150397,100.0,212.18785332962847,100.0,132.74193517940807,100.0,100.0,Royal Botanic Gardens Victoria,Melbourne City,Greater Melbourne,,
Susan Street Oval,,,,Melbourne NE,-37.72028596556847,145.14218097828123,829.0268830373551,96.37163962033061,7552.540001321885,0.0,235.8427571329556,100.0,68.4,Eltham,Nillumbik - Kinglake,Greater Melbourne,10.0,1097.974413
South Oval,,,,Melbourne NE,-37.717354871787066,145.1131100820421,532.1062533189181,100.0,5206.417069004434,0.0,91.922029005007,100.0,70.0,Montmorency - Briar Hill,Banyule,Greater Melbourne,9.0,1079.754949
North Oval,,,,Melbourne NE,-37.715711442406274,145.1140036737135,391.0707079795425,100.0,5173.802144194874,0.0,197.36973495673755,100.0,70.0,Montmorency - Briar Hill,Banyule,Greater Melbourne,9.0,1079.754949
Moorabbin Oval,,,,Melbourne NE,-37.93800892258173,145.0437332166602,677.3310713072964,100.0,3542.6400734773683,0.0,410.5061706710792,97.3734573322302,69.3,Moorabbin - Heatherton,Kingston,Greater Melbourne,8.0,1047.778202
Trevor Barker Beach Oval,,,,Melbourne NE,-37.94493168422671,145.0002302758134,659.1838081530738,100.0,3710.475278492409,0.0,146.83045344500948,100.0,70.0,Sandringham - Black Rock,Bayside,Greater Melbourne,10.0,1093.9807
Croydon Oval,,,,Melbourne NE,-37.79764281407278,145.28401383506477,384.2800206530354,100.0,11092.371909646861,0.0,150.2898887044308,100.0,70.0,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Fred Geale Oval,,,,Melbourne NE,-37.8024891047729,145.2833047371308,795.9033750993565,100.0,10732.785352986453,0.0,158.4240328772631,100.0,70.0,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Como Park,,,,Melbourne NE,-37.83567260584203,145.00414166602218,855.8925720096107,93.01342849879866,538.7312432854079,100.0,82.3777769726704,100.0,96.9,South Yarra - North,Stonnington - West,Greater Melbourne,10.0,1090.427398
Hadfield Football Club,,,,Melbourne NE,-37.70537085288629,144.95276041834805,749.6597346318524,100.0,2661.878842240219,0.0,179.07406484089805,100.0,70.0,Hadfield,Moreland - North,Greater Melbourne,3.0,970.3678812
Bennettswood Sports Ground,,,,Melbourne NE,-37.8487274881896,145.11228775915865,2702.5622935922142,0.0,295.0010166951134,100.0,282.0956344350075,100.0,55.0,Burwood (Vic.),Whitehorse - West,Greater Melbourne,5.0,1009.557361
Belgrave Recreation Reserve,,,,Melbourne NE,-37.915683213644876,145.34484697117426,811.9558390251703,98.5055201218537,15754.794904732375,0.0,151.7159508875782,100.0,69.3,Belgrave - Selby,Yarra Ranges,Greater Melbourne,9.0,1072.387176
Benson Oval,3136,,,Melbourne NE,-37.80842497250584,145.27944671248815,1410.8357055555387,23.645536805557665,10089.601899235866,0.0,297.78776531649964,100.0,35.6,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Melbourne Football Club Training Oval,,,,Melbourne NE,-37.826426172333434,144.9874920560409,252.16734980506428,100.0,248.86036143768342,100.0,207.34582265781503,100.0,100.0,East Melbourne,Melbourne City,Greater Melbourne,10.0,1107.378731
Waverley Park,,,,Melbourne NE,-37.92560197970486,145.1887344995278,4063.8275753276203,0.0,7698.703892526488,0.0,361.48705841829445,100.0,25.0,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
Main Oval,,,,Melbourne NE,-37.834310168358265,144.97776859999837,430.39482795160876,100.0,265.6815982727608,100.0,276.73564052528894,100.0,100.0,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
Cordner Oval,,,,Melbourne NE,-37.84257205976188,144.98294194187875,892.6621869336021,88.41722663329973,306.95691265168114,100.0,234.01763849401422,100.0,94.8,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
De Winton Park Oval,,,,Melbourne NE,-37.74670676948601,145.06813395658523,299.84296539847855,100.0,3950.2590029822336,0.0,215.40641452616526,100.0,70.0,Heidelberg - Rosanna,Banyule,Greater Melbourne,9.0,1075.343426
Emerald Primary School Oval,,,,Melbourne NE,-37.932834159580224,145.44195085048057,7983.3748765725895,0.0,24376.918787761835,0.0,96.9919790117086,100.0,25.0,Emerald - Cockatoo,Cardinia,Greater Melbourne,9.0,1065.503532
Oval 1,,,,Melbourne NE,-37.63920682090583,145.02468014119378,1490.9402057934071,13.632474275824114,5927.085154038626,0.0,157.15392062238965,100.0,31.1,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
Oval 2,,,,Melbourne NE,-37.638425819170024,145.02271838644668,1640.1205159655208,0.0,6107.574324314048,0.0,190.87063630689516,100.0,25.0,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
Surrey Park Football Club,,,,Melbourne NE,-37.8274776346566,145.11645920555893,914.9530174421496,85.6308728197313,1137.994720407114,10.334213265480985,303.7179279629583,100.0,66.6,Box Hill,Whitehorse - West,Greater Melbourne,4.0,991.0009738
J A Loughnan Oval,,,,Melbourne NE,-37.83136840361731,145.02605533794494,455.07767086715484,100.0,417.57315976683964,100.0,1129.674169687888,0.0,75.0,Richmond (South) - Cremorne,Yarra,Greater Melbourne,10.0,1105.849271
Ringwood Secondary College Oval,,,,Melbourne NE,-37.814921853277,145.2398230277305,777.0791992649861,100.0,6857.486461492175,0.0,237.8940510524032,100.0,70.0,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Pitcher Park,,,,Melbourne NE,-37.77372328872961,145.02859087278648,533.638480946145,100.0,2639.6818674569367,0.0,116.49437378984473,100.0,70.0,Alphington - Fairfield,Darebin - South,Greater Melbourne,9.0,1070.172346
South East Oval,,,,Melbourne NE,-37.778077850949984,145.04870384774043,892.0634887617634,88.49206390477957,2138.5274362566274,0.0,702.2575056300936,24.435623592476585,45.9,Ivanhoe,Banyule,Greater Melbourne,9.0,1085.470248
Wadhurst Oval,,,,Melbourne NE,-37.833692963909456,144.9748540294025,164.84441138107454,100.0,126.69993109154768,100.0,91.9337193719331,100.0,100.0,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
Ben Frilay Oval,,,,Melbourne NE,-37.639660344601715,145.18934761309663,169.85696966389614,100.0,11439.438226428578,0.0,414.2287850360233,96.44280374099418,69.1,Hurstbridge,Nillumbik - Kinglake,Greater Melbourne,9.0,1068.054539
TB Garvey Oval,,,,Melbourne NE,-37.689211461259994,145.0671613073502,2778.890529035417,0.0,124.51461600309518,100.0,92.49405230671405,100.0,55.0,Bundoora - East,Banyule,Greater Melbourne,6.0,1023.552441
Russell Lucas Oval,,,,Melbourne NE,-37.82359233360639,145.2329907310435,897.2413803614872,87.8448274548141,5773.801729211341,0.0,399.80864326365463,100.0,64.5,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Montrose Oval,,,,Melbourne NE,-37.81317750149301,145.34435014056078,4167.987669649118,0.0,15066.415094082167,0.0,218.4291622460311,100.0,25.0,Montrose,Yarra Ranges,Greater Melbourne,9.0,1068.191081
Shane Warne Oval,,,,Melbourne NE,-37.94697747395194,145.01815270508052,1183.4109167386994,52.07363540766258,3638.387688696056,0.0,151.20480563754856,100.0,48.4,Sandringham - Black Rock,Bayside,Greater Melbourne,10.0,1093.9807
Peter Ferrie Oval,,,,Melbourne NE,-37.84162379976835,145.03873084714965,449.9341748594261,100.0,595.8479885106349,100.0,527.1517845949628,68.2120538512593,92.1,Malvern - Glen Iris,Stonnington - East,Greater Melbourne,10.0,1097.641343
Mount Waverley Reserve,,,,Melbourne NE,-37.87251021561403,145.1352280423971,676.5469467471587,100.0,2280.6701470629932,0.0,229.75359300415343,100.0,70.0,Mount Waverley - North,Monash,Greater Melbourne,9.0,1064.561604
W. J. Cox Oval,,,,Melbourne NE,-37.7952072780041,145.0055172033667,984.7941855949236,76.90072680063454,1415.643471589316,0.0,667.6613020311356,33.084674492216095,42.9,Clifton Hill - Alphington,Yarra,Greater Melbourne,10.0,1094.355915
H. H. Olney Oval,,,,Melbourne NE,-37.794895370649456,145.007410978177,1154.0734730316183,55.74081587104771,1517.695429567057,0.0,705.0624136816422,23.734396579589458,31.0,Clifton Hill - Alphington,Yarra,Greater Melbourne,10.0,1094.355915
Sir Arthur Rylah Oval,,,,Melbourne NE,-37.8038878255687,145.0101041356911,1424.2448947324403,21.969388158444957,838.3131653372973,60.281139110450454,108.96372045171977,100.0,53.0,Kew - West,Boroondara,Greater Melbourne,9.0,1080.938503
Keith Anderson Oval,,,,Melbourne NE,-37.81475795783834,145.06760820843792,1194.5965469801738,50.675431627478275,386.96436844816554,100.0,674.9612105536677,31.259697361583083,60.6,Balwyn,Boroondara,Greater Melbourne,8.0,1063.831087
Huskisson Recreation Reserve- Sportsfield,,,,Melbourne NE,-37.662122760245175,145.00841828640347,821.7107480900422,97.28615648874472,5704.528942571622,0.0,178.4290292661237,100.0,68.8,Lalor - West,Whittlesea - Wallan,Greater Melbourne,2.0,919.2516177
Brighton Beach Oval,,,,Melbourne NE,-37.92854644153782,144.99100976434545,95.12777327999363,100.0,2775.7024411667717,0.0,94.68337228978986,100.0,70.0,Brighton (Vic.),Bayside,Greater Melbourne,10.0,1100.743601
Woodfull-Miller Oval,,,,Melbourne NE,-37.835198241340315,144.99406080672665,391.2740291020463,100.0,231.30800373665065,100.0,148.28548032825685,100.0,100.0,South Yarra - North,Stonnington - West,Greater Melbourne,10.0,1090.427398
